year,month,name,ppl_enrolled_snap
2016,2,t3104800,2334
2016,2,t3104900,306
2016,2,t3105100,30
2016,2,t3105201,196
2016,2,t3105204,642
2016,2,t3105400,411
2016,2,t3105500,40
2016,2,t3105600,228
2016,2,t3105700,491
2016,2,t3106000,1119
2016,2,t3106200,749
2016,2,t3106400,411
2016,2,t3106500,21
2016,2,t3106600,11
2016,2,t3106700,121
2016,2,t3106900,246
2016,2,t3107000,459
2016,2,t3107400,258
2016,2,t3107500,78
2016,2,t3107600,105
2016,2,t3108000,41
2016,2,t3108600,361
2016,2,t3108700,288
2016,2,t3108800,485
2016,2,t3108900,65
2016,2,t3109000,21
2016,2,t3109100,53
2016,2,t3109200,118
2016,2,t3109300,283
2016,2,t3109400,245
2016,2,t3109700,209
2016,2,t3109800,36
2016,2,t3109900,98
2016,2,t3110000,243
2016,2,t3110100,145
2016,2,t3110200,136
2016,2,t3110400,252
2016,2,t3110500,91
2016,2,t3110800,155
2016,2,t3110900,273
2016,2,t3111100,108
2016,2,t3111200,14
2016,2,t3111300,68
2016,2,t3111400,50
2016,2,t3111500,191
2016,2,t3111600,51
2016,2,t3122500,240
2016,2,t3122600,43
2016,2,t3125500,384
2016,2,t3125600,35
2016,2,t3125700,1139
2016,2,t3125800,932
2016,2,t3125900,1169
2016,2,t3126000,1297
2016,2,t3126100,479
2016,2,t3126200,503
2016,2,t3980000,77
2016,2,t7060747,10
2016,3,t3000101,582
2016,3,t3000102,1020
2016,3,t3000300,336
2016,3,t3000601,311
2016,3,t3000603,67
2016,3,t3001100,214
2016,3,t3001700,441
2016,3,t3002200,558
2016,3,t3002400,295
2016,3,t3002700,622
2016,3,t3003200,471
2016,3,t3003300,763
2016,3,t3003800,86
2016,3,t3005901,875
2016,3,t3005902,1050
2016,3,t3006800,331
2016,3,t3007700,404
2016,3,t3007801,441
2016,3,t3008100,58
2016,3,t3008200,855
2016,3,t3008300,347
2016,3,t3008400,432
2016,3,t3008500,562
2016,3,t3009500,376
2016,3,t3009600,262
2016,3,t3010600,11
2016,3,t3011000,164
2016,3,t3011703,34
2016,3,t3011704,73
2016,3,t3011800,124
2016,3,t3011998,157
2016,3,t3012001,123
2016,3,t3012003,552
2016,3,t3012101,509
2016,3,t3012102,162
2016,3,t3020101,28
