name,date,total_pop,median_age,male_perc,female_perc,white_perc,black_perc,asian_perc,other_perc,employed_perc,unemployed_perc,income_below_poverty_perc,income_median,income_mean,k_12_perc,college_undergrad_perc,total_pop_above_25_w_bach_degree_perc,stem_degree_perc,stem_related_degree_perc,business_degree_perc,education_degree_perc,humanities_degree_perc,healthInsured_perc,mean_travel_work,occupied_housing_units,owned_housing_units,rented_housing_units,life_expectancy,total_enrolled_SNAP,asian_SNAP_enrollment_perc,black_SNAP_enrollment_perc,other_SNAP_enrollment_perc,white_SNAP_enrollment_perc,hdi_index,num_households,single_parent_households,mobile_home_households,no_HS_diploma_households,no_vehicle_households,limited_english_households,eviction_filings,eviction_rate_perc,hl_binge_drinking_prev,hl_high_blood_pressure_prev,hl_cancer_prev,hl_asthma_prev,hl_heart_disease_prev,hl_doctor_visits_prev,hl_smoking_prev,hl_dentist_visits_prev,hl_kidney_disease_prev,hl_poor_mental_health_prev,hl_obesity_prev,hl_poor_sleep_prev,hl_stroke_prev,hs_subsidized_units,hl_VA_health_coverage,hl_public_coverage,hl_medicare_coverage,hl_private_coverage,inc_no_internet_households,inc_internet_households,hs_median_rent,acs_SNAP_household_total,acs_SNAP_household_white,acs_SNAP_household_black,acs_SNAP_household_Asian
t3002700,2018,2885.0,30.0,53.0,47.0,25.0,49.0,14.0,1.0,66.0,5.0,31.0,43250.0,53306.0,66.0,16.0,409.0,40.0,6.0,10.0,11.0,33.0,89.0,26.0,892.0,558.0,334.0,75.0,6537.0,13.0,70.0,8.0,7.0,2.84,892.0,135.0,0.0,184.0,153.0,184.0,23.0,22.0,18.0,30.5,4.5,9.7,4.8,72.1,20.1,60.3,3.2,13.2,34.5,37.1,3.7,96.0,44.0,1099.0,337.0,1360.0,430.0,2441.0,994.0,251.0,38.0,150.0,33.0
t3002700,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3003200,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3003200,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3003200,2018,1854.0,31.0,50.0,50.0,31.0,59.0,3.0,1.0,74.0,2.0,10.0,66319.0,73326.0,79.0,17.0,396.0,21.0,15.0,34.0,5.0,25.0,89.0,23.0,595.0,383.0,212.0,76.0,4051.0,12.0,70.0,6.0,9.0,4.49,595.0,110.0,0.0,96.0,46.0,59.0,14.0,36.0,19.9,29.5,5.3,8.8,4.4,73.8,15.2,65.7,2.8,10.0,30.3,35.4,3.1,44.0,16.0,553.0,211.0,1050.0,455.0,1374.0,1218.0,143.0,44.0,99.0,0.0
t3003200,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3003300,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3003300,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3003300,2018,2620.0,23.0,50.0,50.0,10.0,58.0,20.0,5.0,65.0,7.0,36.0,28000.0,45723.0,79.0,17.0,195.0,36.0,11.0,22.0,3.0,28.0,92.0,29.0,676.0,263.0,413.0,73.0,8025.0,10.0,76.0,8.0,4.0,2.01,676.0,213.0,0.0,304.0,121.0,204.0,27.0,56.0,15.3,32.4,3.9,10.6,5.6,71.3,25.3,47.8,3.8,16.4,37.6,40.6,4.4,267.0,31.0,1592.0,157.0,759.0,318.0,2256.0,967.0,321.0,17.0,241.0,34.0
t3003300,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3003800,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3003800,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3003800,2018,5960.0,23.0,53.0,47.0,76.0,2.0,12.0,2.0,77.0,5.0,46.0,35000.0,47616.0,1.0,74.0,1325.0,43.0,12.0,10.0,10.0,27.0,91.0,22.0,2251.0,131.0,2120.0,,1596.0,,64.0,,35.0,,2251.0,59.0,0.0,111.0,474.0,4.0,34.0,47.0,26.1,10.9,1.6,8.5,1.6,59.1,15.5,62.5,1.5,14.9,20.9,29.6,1.0,26.0,28.0,553.0,240.0,4761.0,1110.0,4053.0,875.0,71.0,15.0,0.0,0.0
t3003800,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3005901,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3005901,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3005901,2018,2953.0,48.0,53.0,47.0,56.0,36.0,3.0,3.0,40.0,5.0,43.0,16918.0,30142.0,39.0,46.0,522.0,30.0,5.0,15.0,14.0,37.0,95.0,22.0,1611.0,40.0,1571.0,67.0,9145.0,2.0,68.0,8.0,21.0,1.81,1611.0,101.0,0.0,439.0,814.0,119.0,36.0,39.0,15.9,38.1,7.7,9.2,9.9,73.0,21.4,50.1,4.8,13.6,34.6,35.2,5.9,559.0,43.0,962.0,692.0,1076.0,907.0,1335.0,647.0,593.0,166.0,385.0,10.0
t3005901,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3005902,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3005902,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3005902,2018,3368.0,28.0,54.0,46.0,32.0,46.0,0.0,10.0,62.0,8.0,50.0,22731.0,29700.0,73.0,14.0,293.0,53.0,3.0,11.0,4.0,29.0,83.0,24.0,1024.0,87.0,937.0,76.0,10331.0,,73.0,13.0,12.0,1.98,1024.0,135.0,0.0,638.0,384.0,478.0,34.0,50.0,19.8,28.8,3.3,10.0,5.7,64.6,29.7,43.9,3.4,18.1,39.1,38.5,3.8,266.0,75.0,2053.0,285.0,529.0,941.0,1895.0,714.0,358.0,74.0,195.0,0.0
t3005902,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3006800,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3006800,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3006800,2018,3879.0,29.0,52.0,49.0,71.0,20.0,3.0,4.0,86.0,6.0,25.0,33152.0,50224.0,22.0,45.0,1331.0,42.0,6.0,6.0,4.0,42.0,90.0,21.0,2328.0,188.0,2140.0,,3523.0,,63.0,6.0,30.0,,2328.0,143.0,0.0,206.0,641.0,54.0,46.0,39.0,28.1,15.4,2.8,8.3,2.3,60.8,17.6,68.9,1.7,12.4,25.4,30.7,1.4,105.0,32.0,766.0,177.0,2650.0,635.0,3204.0,807.0,373.0,176.0,193.0,0.0
t3006800,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3007700,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3007700,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3007700,2018,4307.0,28.0,54.0,46.0,64.0,25.0,5.0,2.0,86.0,1.0,8.0,54921.0,71816.0,41.0,22.0,1645.0,36.0,3.0,25.0,2.0,34.0,91.0,21.0,2372.0,172.0,2200.0,,4892.0,,85.0,7.0,6.0,,2372.0,159.0,0.0,256.0,278.0,293.0,45.0,36.0,27.7,15.3,2.8,7.8,2.2,61.4,15.4,67.7,1.7,11.1,25.2,30.4,1.4,90.0,47.0,1088.0,111.0,2801.0,287.0,4011.0,1226.0,198.0,18.0,140.0,0.0
t3007700,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3007801,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3007801,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3007801,2018,1924.0,26.0,52.0,48.0,36.0,43.0,2.0,15.0,71.0,4.0,39.0,30821.0,40253.0,73.0,21.0,183.0,58.0,3.0,0.0,0.0,39.0,81.0,26.0,665.0,89.0,576.0,,3948.0,7.0,65.0,12.0,14.0,,665.0,138.0,0.0,361.0,178.0,334.0,19.0,32.0,20.2,24.0,2.9,9.6,4.1,64.2,25.0,46.2,2.8,16.6,34.6,37.5,2.8,88.0,13.0,992.0,55.0,557.0,323.0,1569.0,796.0,210.0,39.0,146.0,14.0
