neighborhoodId,name,longitude,latitude,date,total_cases,arson_perc,theft_perc,assault_perc,murder_perc,rape_perc
n270530224,cleveland,-93.32,45.02,2017,150,3,76,19,0,2
n270530225,bryant,-93.26,44.93,2017,121,0,93,7,0,1
n270530226,folwell,-93.29,45.02,2017,345,1,73,24,0,2
n270530227,tangletown,-93.28,44.91,2017,147,0,97,3,0,1
n270530228,phillips west,-93.27,44.96,2017,296,0,86,11,0,3
n270530229,beltrami,-93.24,45,2017,56,0,89,11,0,0
n270530230,fulton,-93.31,44.91,2017,126,2,96,0,1,2
n270530231,east phillips,-93.25,44.96,2017,359,0,82,17,0,1
n270530232,prospect park - east river road,-93.21,44.97,2017,372,0,96,2,0,2
n270530233,marcy holmes,-93.25,44.99,2017,712,0,96,3,0,1
n270530234,longfellow,-93.22,44.95,2017,636,0,94,5,0,1
n270530235,carag,-93.29,44.94,2017,363,1,93,4,0,2
n270530236,shingle creek,-93.32,45.05,2017,100,0,94,6,0,0
n270530237,corcoran,-93.24,44.95,2017,189,1,89,8,1,2
n270530238,humboldt industrial area,-93.3,45.04,2017,8,0,100,0,0,0
n270530239,bryn - mawr,-93.31,44.98,2017,93,0,98,1,0,1
n270530240,kenny,-93.3,44.9,2017,81,0,99,1,0,0
n270530241,northeast park,-93.24,45,2017,144,0,99,1,0,1
n270530242,camden industrial,-93.28,45.02,2017,35,0,77,14,6,3
n270530243,waite park,-93.24,45.03,2017,100,0,96,4,0,0
n270530244,como,-93.22,44.99,2017,246,0,94,4,0,2
n270530245,victory,-93.31,45.03,2017,163,1,92,7,0,1
n270530246,cedar riverside,-93.24,44.97,2017,437,0,88,9,0,2
n270530247,east harriet,-93.29,44.94,2017,117,0,98,2,0,0
n270530248,ecco,-93.3,44.95,2017,224,0,98,2,0,0
n270530249,windom park,-93.25,45,2017,152,0,91,6,0,3
n270530250,lynnhurst,-93.3,44.91,2017,101,0,100,0,0,0
n270530251,jordan,-93.29,45,2017,677,2,79,17,0,1
n270530252,lowry hill,-93.29,44.96,2017,154,1,97,1,1,1
n270530253,harrison,-93.3,44.98,2017,209,0,81,16,0,3
n270530254,logan park,-93.25,45.01,2017,68,0,93,7,0,0
n270530255,central,-93.27,44.94,2017,471,1,85,13,0,1
n270530256,marshall terrace,-93.27,45.01,2017,71,0,92,8,0,0
n270530257,lind - bohanon,-93.29,45.05,2017,223,2,85,11,0,2
n270530258,downtown west,-93.27,44.97,2017,2273,0,91,7,0,2
n270530259,near - north,-93.3,44.99,2017,575,2,80,15,1,2
n270530260,elliot park,-93.26,44.97,2017,392,1,84,11,0,5
n270530261,page,-93.26,44.91,2017,40,0,100,0,0,0
n270530262,kenwood,-93.31,44.96,2016,38,0,92,5,0,3
n270530263,seward,-93.23,44.96,2016,381,0,89,8,0,2
n270530264,webber - camden,-93.31,45.04,2016,313,1,78,19,0,1
n270530265,columbia park,-93.25,45.03,2016,48,4,92,4,0,0
n270530266,cooper,-93.21,44.95,2016,119,0,100,0,0,0
n270530267,ericsson,-93.25,44.93,2016,83,0,95,4,0,1
n270530268,st. anthony west,-93.26,44.99,2016,68,0,94,6,0,0
n270530269,morris park,-93.21,44.9,2016,63,2,83,13,0,3
n270530270,minnehaha,-93.22,44.91,2016,116,0,93,6,0,1
n270530271,armatage,-93.32,44.91,2016,74,0,96,4,0,0
n270530272,hawthorne,-93.29,45,2016,418,0,75,23,0,1
n270530273,east isles,-93.3,44.96,2016,191,0,94,5,0,1
n270530274,keewaydin,-93.24,44.91,2016,102,0,96,3,0,1
n270530275,sumner - glenwood,-93.29,44.99,2016,77,1,82,17,0,0
n270530276,ventura village,-93.25,44.96,2016,441,1,84,14,0,1
n270530277,downtown east,-93.26,44.98,2016,143,0,95,3,0,1
n270530278,holland,-93.26,45.01,2016,189,1,88,8,0,3
n270530279,hiawatha,-93.2,44.93,2016,230,1,95,3,0,1
n270530280,regina,-93.27,44.92,2016,93,2,87,11,0,0
n270530281,audubon park,-93.24,45.02,2016,114,1,90,8,0,1
n270530282,west calhoun,-93.32,44.94,2016,68,0,99,1,0,0
n270530283,mckinley,-93.29,45.02,2016,186,1,78,20,0,1
n270530284,midtown phillips,-93.26,44.96,2016,427,0,88,9,0,2
n270530285,hale,-93.25,44.91,2016,51,0,96,4,0,0
n270530286,lyndale,-93.28,44.94,2016,339,1,90,7,0,2
n270530287,howe,-93.22,44.94,2016,206,0,93,6,0,1
n270530288,bottineau,-93.27,45.01,2016,84,1,95,4,0,0
n270530289,northrop,-93.26,44.92,2016,173,1,97,2,0,1
n270530290,lowry hill east,-93.29,44.95,2016,476,0,95,4,0,1
n270530291,university of minnesota,-93.23,44.98,2016,137,0,95,3,1,1
n270530292,stevens square - loring heights,-93.27,44.96,2016,186,0,89,10,0,1
n270530293,windom,-93.28,44.9,2016,177,1,94,5,0,0
n270530294,linden hills,-93.31,44.93,2016,109,1,98,1,0,0
n270530295,north loop,-93.28,44.98,2016,400,0,93,6,0,1
n270530296,field,-93.27,44.91,2016,87,2,95,2,0,0
n270530297,mid - city industrial,-93.22,44.99,2016,79,0,97,3,0,0
n270530298,whittier,-93.29,44.96,2016,708,0,93,6,0,1
n270530299,standish,-93.25,44.93,2016,198,1,97,2,0,1
n270530300,cedar - isles - dean,-93.33,44.95,2016,138,0,96,3,0,1
n270530301,sheridan,-93.27,45.01,2016,111,0,95,3,1,1
n270530302,powderhorn park,-93.25,44.94,2016,507,1,91,7,0,1
n270530303,loring park,-93.29,44.97,2016,481,0,90,8,0,2
n270530304,wenonah,-93.23,44.9,2016,111,2,88,10,0,0
n270530305,bancroft,-93.25,44.93,2016,132,0,98,2,0,1
n270530306,willard - hay,-93.31,44.99,2016,444,1,73,24,1,2
n270530307,st. anthony east,-93.26,45,2016,77,0,94,6,0,0
n270530308,king field,-93.28,44.92,2016,194,1,96,3,0,1
n270530309,diamond lake,-93.27,44.89,2016,125,0,98,2,0,0
n270530310,nicollet island - east bank,-93.26,44.99,2016,89,0,96,3,0,1
n270530311,cleveland,-93.32,45.02,2016,165,1,83,14,1,1
n270530312,bryant,-93.26,44.93,2016,81,0,94,4,0,2
n270530313,folwell,-93.29,45.02,2016,361,2,74,21,0,2
n270530314,tangletown,-93.28,44.91,2016,137,0,98,2,0,0
n270530315,phillips west,-93.27,44.96,2016,242,1,87,10,1,1
n270530316,beltrami,-93.24,45,2016,72,0,96,1,0,3
n270530317,fulton,-93.31,44.91,2016,122,0,99,0,0,1
n270530318,east phillips,-93.25,44.96,2016,400,0,85,14,0,0
n270530319,prospect park - east river road,-93.21,44.97,2016,340,0,95,3,0,2
n270530320,marcy holmes,-93.25,44.99,2016,624,0,96,3,0,1
n270530321,longfellow,-93.22,44.95,2016,539,0,93,6,0,1
n270530322,carag,-93.29,44.94,2016,256,0,95,4,0,0
n270530323,shingle creek,-93.32,45.05,2016,97,1,81,13,1,3
n270530324,corcoran,-93.24,44.95,2016,223,0,92,6,0,1
n270530325,humboldt industrial area,-93.3,45.04,2016,10,0,90,10,0,0
n270530326,bryn - mawr,-93.31,44.98,2016,71,1,94,3,0,1
n270530327,kenny,-93.3,44.9,2016,69,0,97,1,0,1
n270530328,northeast park,-93.24,45,2016,158,0,98,1,0,1
n270530329,camden industrial,-93.28,45.02,2016,29,0,93,7,0,0
n270530330,waite park,-93.24,45.03,2016,86,0,94,5,0,1
n270530331,como,-93.22,44.99,2016,299,0,94,6,0,0
n270530332,victory,-93.31,45.03,2016,170,1,90,9,0,1
n270530333,cedar riverside,-93.24,44.97,2016,343,0,86,12,0,2
n270530334,east harriet,-93.29,44.94,2016,98,1,96,2,0,1
n270530335,ecco,-93.3,44.95,2016,137,1,97,1,0,1
n270530336,windom park,-93.25,45,2016,156,1,92,3,0,4
n270530337,lynnhurst,-93.3,44.91,2016,75,0,97,3,0,0
n270530338,jordan,-93.29,45,2016,537,1,74,22,1,2
n270530339,lowry hill,-93.29,44.96,2016,129,0,97,2,0,1
n270530340,harrison,-93.3,44.98,2016,183,1,81,14,1,4
n270530341,logan park,-93.25,45.01,2016,81,0,91,9,0,0
n270530342,central,-93.27,44.94,2016,420,1,89,9,0,1
n270530343,marshall terrace,-93.27,45.01,2016,46,0,96,4,0,0
n270530344,lind - bohanon,-93.29,45.05,2016,244,2,84,13,0,2
n270530345,downtown west,-93.27,44.97,2016,2347,0,92,7,0,2
n270530346,near - north,-93.3,44.99,2016,578,0,81,16,0,2
n270530347,elliot park,-93.26,44.97,2016,349,0,82,12,0,5
n270530348,page,-93.26,44.91,2016,32,0,94,6,0,0
