,Neighborhood,Lat,Long
330,FULTON,44.91158635,-93.32394327
331,LYNDALE,44.9483555,-93.27730268
332,WILLARD - HAY,44.99361158,-93.30696408
335,REGINA,44.9242341,-93.26508196
336,CENTRAL,44.9368642,-93.26505325
337,POWDERHORN PARK,44.94836352,-93.25568226
338,EAST ISLES,44.95777856,-93.29509939
340,POWDERHORN PARK,44.94836761,-93.25059333
341,COMO,44.98874798,-93.23330586
342,AUDUBON PARK,45.01770002,-93.24222844
343,KEEWAYDIN,44.91168249,-93.23223062
344,STEVENS SQUARE - LORING HEIGHTS,44.96331994,-93.2765804
345,CARAG,44.94659,-93.2983
346,REGINA,44.92060378,-93.27023285
347,PROSPECT PARK - EAST RIVER ROAD,44.97022,-93.21887
349,UNIVERSITY OF MINNESOTA,44.97366129,-93.22790293
351,POWDERHORN PARK,44.94044367,-93.24990515
352,LORING PARK,44.96704546,-93.27932994
354,ST. ANTHONY WEST,44.99049,-93.25986999999999
355,DOWNTOWN WEST,44.98006470000001,-93.27188308
357,SHINGLE CREEK,45.05024551,-93.30046804
358,PHILLIPS WEST,44.96001326,-93.26257116
359,HAWTHORNE,45.01221325,-93.2889103
361,WILLARD - HAY,44.99242818,-93.31207358
362,CEDAR - ISLES - DEAN,44.94950994,-93.31461307
363,WEBBER - CAMDEN,45.03127579,-93.30274047
364,LIND - BOHANON,45.03940796,-93.28887441
366,FOLWELL,45.016740000000006,-93.29433
368,LONGFELLOW,44.94926371,-93.22165754
369,SEWARD,44.96397232,-93.23457729
370,MIDTOWN PHILLIPS,44.95822612,-93.26003320000001
371,SEWARD,44.96095,-93.2425
373,LIND - BOHANON,45.03939592,-93.29015499
375,BOTTINEAU,45.01266922,-93.26312291
376,CENTRAL,44.94750847,-93.27030258
377,CENTRAL,44.94750688,-93.27157691
378,CLEVELAND,45.02319461,-93.31722488
379,CENTRAL,44.94750934,-93.27411432
380,MIDTOWN PHILLIPS,44.95283782,-93.25627565
381,DOWNTOWN WEST,44.9753,-93.27908000000001
384,WINDOM PARK,45.0121803,-93.24467528
385,HAWTHORNE,45.00025,-93.29259
386,HOWE,44.93231929,-93.22730894
388,JORDAN,45.00240288,-93.30066536
389,FOLWELL,45.01584633,-93.29559151
390,WILLARD - HAY,45.00120243,-93.30694859
391,WILLARD - HAY,45.00063,-93.31589
393,ECCO,44.9474742,-93.29829195
394,NEAR - NORTH,44.99360415,-93.29411513
395,WAITE PARK,45.02853601,-93.24350318
399,NORTH LOOP,44.98203,-93.27589
400,POWDERHORN PARK,44.93683209,-93.25114796
402,LORING PARK,44.96615185,-93.28408492
403,POWDERHORN PARK,44.94563854,-93.25248074
404,WHITTIER,44.96000991,-93.28420238
405,CLEVELAND,45.01776309,-93.31588751
406,DOWNTOWN WEST,44.97529036,-93.27456670000001
407,DOWNTOWN WEST,44.97757335,-93.27074123
408,CENTRAL,44.94581327,-93.27282893
410,JORDAN,45.01235319,-93.31589143
411,PHILLIPS WEST,44.95823502,-93.26766409
412,DOWNTOWN WEST,44.97968,-93.27243
413,MARCY HOLMES,44.98497549,-93.25353282
414,FOLWELL,45.01595006,-93.30825147
415,COMO,44.988,-93.21266
416,WILLARD - HAY,44.99883091,-93.31653582
417,MIDTOWN PHILLIPS,44.95643811,-93.25751395
418,SHERIDAN,45.00495225,-93.27010844
419,WAITE PARK,45.02498926,-93.22942886
420,LONGFELLOW,44.94407103,-93.22707894
421,LOWRY HILL EAST,44.94920253,-93.28936422
422,WHITTIER,44.95145092,-93.27790386
423,KING FIELD,44.93501309,-93.27975611
425,EAST ISLES,44.95095754,-93.29826148
426,VICTORY,45.02680957,-93.31349641
427,CENTRAL,44.94047525,-93.26892319
429,FOLWELL,45.02307959,-93.29562779
430,PROSPECT PARK - EAST RIVER ROAD,44.96894951,-93.21012916
431,VENTURA VILLAGE,44.96332371,-93.26510627
434,KEEWAYDIN,44.912155799999994,-93.22284414
435,TANGLETOWN,44.91694999,-93.27540908
437,STANDISH,44.92960325,-93.23211948
438,JORDAN,45.01051886,-93.30569753
439,CENTRAL,44.93864653,-93.27406933
