tractID,mean,standard_error
t3050608,74.6,1.2954
t3050609,81.8,2.3181
t3050610,85,2.906
t3050702,78.8,2.0268
t3050704,77.8,1.2018
t3050706,75.8,1.2131
t3050707,90.1,3.8033
t3050709,82.5,2.7238
t3050710,82.7,3.7361
t3050711,82.8,3.3551
t3050712,78.1,1.1406
t3050805,82.7,2.9702
t3050806,80.9,2.1571
t3050807,80.6,2.7132
t3050808,80.2,3.7302
t3050809,80,2.2761
t3050810,81,2.0408
t3050811,83.2,2.802
t3050816,79.1,1.4814
t3050819,85.6,3.9993
t3050820,80.3,1.5913
t3050821,84.2,2.5642
t3050901,76.1,2.447
t3050902,77.8,1.0365
t3051001,77.9,1.8865
t3051101,77.8,1.002
t3051102,81.9,2.0395
t3051103,76.7,1.6971
t3051201,74.7,1.7184
t3051202,76.4,0.8515
t3051203,78.7,1.0174
t3051206,79.4,2.2212
t3051302,77,1.1673
t3051304,78.8,2.6106
t3051305,72.6,1.7294
t3051400,79.2,1.1546
t3051501,78.9,1.867
t3051502,77.4,1.8075
t3051600,80.4,2.0395
t3070103,74.9,1.139
t3070104,77.5,1.3383
t3070105,86.8,3.7466
t3070106,83.7,2.5055
t3070203,85.9,2.5141
t3070204,82.8,3.5766
t3070205,80.8,1.4493
t3070206,84.4,2.1325
t3070301,83.1,2.2183
t3070303,85.8,2.3186
t3070304,79.9,0.9917
t3070403,86.6,2.6375
t3070404,81.3,1.5962
t3070405,84.7,2.372
t3070406,81.3,2.4609
t3070501,81.4,1.8017
t3070502,76.7,1.0499
t3070601,80.3,1.8868
t3070602,84.8,3.0424
t3070701,82.4,1.5279
t3070703,79.9,2.1529
t3070704,80.1,1.8606
t3070906,79.1,0.8577
t3070907,81.6,3.8942
t3070909,80.7,2.7316
t3070910,80.1,1.3243
t3070911,83.8,2.3973
t3070912,80.8,2.1991
t3071001,82,1.9109
t3071003,79.3,1.2415
t3071006,81.9,2.7815
t3071010,80.2,3.2489
t3071011,84,2.7081
t3071012,79.5,1.9437
t3071013,79,0.8702
t3071014,83.8,3.4649
t3071015,86.8,2.0824
t3071016,80.7,1.8414
t3071017,85.7,3.4423
t3071018,83.9,2.5724
t3071101,83.8,2.3083
t3071102,83.2,1.6201
t3071206,80.8,1.8547
t3071207,80.1,1.4875
t3071208,81.6,2.7008
t3071209,79.7,1.9616
t3071300,79.4,1.7947
t3071400,82.1,1.4853
t3090100,83.1,2.6936
t3090200,84.4,3.3867
t3090300,78.4,0.6578
t3090400,75.6,1.6342
t3090500,78.6,1.086
t3100200,75.5,1.8734
t3100400,73.9,2.0249
t3100500,77.2,1.5121
t3100700,76.7,1.6295
t3100800,73.8,2.4962
t3100900,72,1.7181
t3101200,78.7,1.2547
t3101300,73.1,1.7698
t3101600,67.6,2.7114
t3101800,74,1.4477
t3101900,80.2,1.2957
t3102000,73.8,2.1785
t3102300,75.1,1.5808
t3102500,76.7,1.9259
t3102600,73.8,3.6683
t3102800,75.7,1.5975
t3102900,73.8,3.2093
t3103100,72.3,1.5328
t3103400,73.1,2.0078
t3103600,82.4,3.1491
t3103700,79.6,2.5321
t3104100,74.5,1.5472
t3104800,75.1,1.2881
t3105100,83.5,2.9516
t3105204,78.7,2.6882
t3105400,80.3,3.9157
t3105500,84.2,1.9032
t3105600,79.1,1.4742
t3105700,77.3,2.4395
t3106200,79.3,3.0404
t3106400,79.3,1.3436
t3106500,82,0.9046
t3106600,88.1,3.775
t3106900,69.5,2.0837
t3107000,79.2,2.2707
t3107400,73.3,2.7638
t3107500,79.1,1.5643
t3107600,85.8,3.2373
t3108600,77.9,2.4093
t3108700,70.3,1.281
t3108800,77.7,2.3173
t3108900,80.7,1.9214
t3109000,78.8,2.173
t3109100,85,2.9841
t3109200,79.7,1.1417
t3109300,81.1,2.0685
t3109400,75.9,3.0204
t3109700,81.2,1.488
t3109800,85.8,3.1245
t3109900,80.5,1.7887
t3110000,77.6,2.2874
t3110100,81.2,2.4373
t3110200,83.8,2.8635
t3110400,79.4,2.4589
t3110500,76.6,1.2202
t3110800,81.9,2.1073
