year,name,Filings,Evictions
2011,t3027001,14,6
2011,t3027002,10,4
2011,t3027102,10,1
2011,t3027203,12,2
2011,t3027300,20,8
2011,t3027501,28,12
2011,t3027602,14,2
2011,t3027700,12,4
2011,t3100200,45,13
2011,t3100400,58,19
2011,t3100500,12,4
2011,t3100700,37,15
2011,t3100800,64,31
2011,t3100900,101,39
2011,t3101200,11,4
2011,t3101300,33,17
2011,t3101600,82,30
2011,t3101800,34,15
2011,t3101900,32,7
2011,t3102000,36,14
2011,t3102100,49,17
2011,t3102300,45,13
2011,t3102500,31,14
2011,t3102600,19,7
2011,t3102800,75,30
2011,t3102900,24,11
2011,t3103100,17,8
2011,t3103400,28,13
2011,t3103600,17,5
2011,t3104000,16,5
2011,t3104100,40,15
2011,t3104400,17,8
2011,t3104800,11,3
2011,t3105201,12,5
2011,t3105204,40,21
2011,t3105400,27,11
2011,t3105600,39,10
2011,t3105700,99,37
2011,t3106000,33,11
2011,t3106200,26,13
2011,t3106700,28,7
2011,t3106900,24,7
2011,t3107000,28,6
2011,t3107400,20,5
2011,t3108600,23,1
2011,t3108700,18,8
2011,t3108800,53,22
2011,t3108900,11,2
2011,t3109200,20,4
2011,t3109300,33,4
2011,t3109400,20,9
2011,t3109700,12,4
2011,t3110200,11,3
2011,t3110500,12,7
2011,t3110800,16,5
2011,t3110900,20,2
2011,t3111500,13,2
2011,t3125500,16,6
2011,t3125700,78,31
2011,t3125800,69,27
2011,t3125900,38,14
2011,t3126000,32,15
2011,t3126100,33,8
2011,t3126200,13,3
2012,t3000101,24,4
2012,t3000102,46,17
2012,t3000300,19,5
2012,t3001100,14,5
2012,t3001700,15,6
2012,t3002200,24,7
2012,t3002400,29,11
2012,t3002700,60,16
2012,t3003200,20,4
2012,t3003300,35,14
2012,t3003800,10,4
2012,t3005901,34,15
2012,t3005902,21,9
2012,t3006800,40,16
2012,t3007700,21,8
2012,t3007801,21,10
2012,t3008100,14,5
2012,t3008200,37,19
2012,t3008300,13,5
2012,t3008400,20,5
2012,t3008500,35,13
2012,t3009500,21,6
2012,t3009600,18,4
2012,t3011000,12,2
2012,t3011800,10,1
2012,t3012001,11,2
2012,t3012003,47,14
2012,t3012101,27,13
2012,t3012102,15,6
2012,t3020200,101,41
2012,t3020302,16,3
2012,t3020304,21,8
2012,t3020400,35,15
2012,t3020500,21,5
2012,t3020600,11,2
2012,t3020700,16,1
2012,t3020804,26,7
2012,t3021001,28,6
2012,t3021002,12,5
2012,t3021200,27,4
2012,t3021300,29,9
2012,t3021501,27,9
2012,t3021502,29,7
2012,t3021503,32,5
2012,t3021504,10,4
2012,t3021505,29,7
2012,t3021601,10,2
2012,t3021602,11,2
2012,t3022101,24,2
2012,t3022102,12,4
2012,t3022302,26,10
2012,t3022400,18,8
2012,t3022901,21,1
2012,t3023000,33,8
2012,t3023200,56,24
2012,t3023300,32,10
2012,t3023400,29,9
2012,t3024003,11,4
2012,t3024300,21,7
2012,t3024400,23,7
2012,t3024600,18,5
2012,t3024801,15,2
2012,t3024802,20,10
2012,t3024903,23,4
2012,t3025100,26,11
2012,t3025201,42,16
2012,t3025205,19,5
2012,t3025302,14,7
2012,t3025401,11,4
2012,t3025403,31,11
2012,t3025605,14,4
2012,t3025701,28,8
2012,t3025801,27,3
2012,t3025803,16,3
2012,t3025903,18,7
